Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2019,1,1,0,30,177.61,0.01,1.4,0,0,0,1,15,67.13,1015,0,0,0,0,21.3,252,3.1
2019,1,1,1,30,164.8,0.01,1.4,0,0,0,3,14.8,67.59,1015,0,0,0,0,21,245,3.1
2019,1,1,2,30,151.22,0.01,1.5,0,0,0,1,14.7,69.08,1014,0,0,0,0,20.6,238,3
2019,1,1,3,30,137.69,0.01,1.5,0,0,0,3,14.7,70.13,1014,0,0,0,0,20.3,232,2.9
2019,1,1,4,30,124.31,0.01,2.2,0,0,0,1,14,65.66,1021,0,0,0,0,20.7,89,1.8
2019,1,1,5,30,111.13,0.01,2.2,0,0,0,0,13.8,65.42,1022,0,0,0,0,20.5,88,1.8
2019,1,1,6,30,98.28,0.01,2.2,0,0,0,0,13.8,65.67,1023,0,0,0,0,20.4,89,1.9
2019,1,1,7,30,85.75,0.01,2.2,29,55,33,0,13.8,63.51,1024,29,55,0,33,21,96,1.9
2019,1,1,8,30,74.29,0.01,2.1,99,392,205,0,13.9,59.19,1024,99,392,0,205,22.2,94,2
2019,1,1,9,30,63.92,0.01,2.1,133,585,390,0,14.1,56,1024,133,585,0,390,23.4,69,1.8
2019,1,1,10,30,55.41,0.01,2,151,686,541,0,14.3,53.17,1023,151,686,0,541,24.4,37,1.8
2019,1,1,11,30,49.77,0.01,1.9,159,741,638,3,14.3,51.64,1022,375,206,0,508,24.9,189,2
2019,1,1,12,30,48.02,0.01,1.9,159,759,667,2,14.5,51.56,1021,379,250,0,546,25.2,353,2.5
2019,1,1,13,30,50.57,0.01,1.9,159,733,624,8,15,53.04,1021,273,459,0,564,25.2,347,3.2
2019,1,1,14,30,56.85,0.01,1.8,143,694,523,3,15.5,55.14,1021,304,264,0,448,25.1,348,3.5
2019,1,1,15,30,65.77,0.01,1.8,119,601,366,1,15.9,57.93,1021,119,601,0,366,24.7,352,3.5
2019,1,1,16,30,76.41,0.01,1.8,83,398,177,7,16.1,61.77,1021,50,1,0,50,23.9,357,3.1
2019,1,1,17,30,87.95,0.01,1.7,14,24,15,7,16.6,66.75,1022,4,0,7,4,23.1,179,2.7
2019,1,1,18,30,100.7,0.01,1.7,0,0,0,0,17,70.17,1022,0,0,0,0,22.7,1,2.6
2019,1,1,19,30,113.62,0.01,1.6,0,0,0,0,17,71.37,1022,0,0,0,0,22.4,2,2.4
2019,1,1,20,30,126.85,0.01,1.6,0,0,0,0,16.7,71.34,1022,0,0,0,0,22.1,179,2.2
2019,1,1,21,30,140.28,0.01,1.5,0,0,0,0,16.3,70.2,1022,0,0,0,0,22,354,2.1
2019,1,1,22,30,153.83,0.01,1.5,0,0,0,2,16,68.93,1022,0,0,0,0,22,349,2.1
2019,1,1,23,30,167.4,0.01,1.5,0,0,0,7,15.9,68.7,1021,0,0,0,0,21.9,346,2.1
2019,1,2,0,30,177.6,0.01,1.5,0,0,0,7,15.8,69.33,1021,0,0,0,0,21.7,348,2.1
2019,1,2,1,30,164.91,0.01,1.6,0,0,0,7,15.7,69.32,1021,0,0,0,0,21.6,352,2.1
2019,1,2,2,30,151.33,0.01,1.6,0,0,0,8,15.8,70.24,1021,0,0,0,0,21.4,355,2
2019,1,2,3,30,137.8,0.01,1.6,0,0,0,1,15.7,70.43,1021,0,0,0,0,21.3,182,1.8
2019,1,2,4,30,124.39,0.01,1.6,0,0,0,7,15.5,70.55,1021,0,0,0,0,21.1,15,1.6
2019,1,2,5,30,111.21,0.01,1.6,0,0,0,2,15.4,70.59,1022,0,0,0,0,20.9,31,1.4
2019,1,2,6,30,98.35,0.01,1.7,0,0,0,2,15.2,70.12,1022,0,0,0,0,20.8,49,1.3
2019,1,2,7,30,85.8,0.01,1.8,29,113,38,7,14.9,67.07,1023,37,5,7,37,21.3,75,1.6
2019,1,2,8,30,74.32,0.01,1.9,88,479,217,7,14.7,62.16,1023,27,0,1,27,22.3,94,2.1
2019,1,2,9,30,63.93,0.01,2,117,649,403,7,14.5,56.96,1023,195,444,0,390,23.5,94,2.2
2019,1,2,10,30,55.4,0.01,2.1,144,708,546,7,13.9,51.56,1022,229,418,0,467,24.5,91,1.7
2019,1,2,11,30,49.72,0.01,2.1,158,746,640,8,13.2,47.88,1021,260,519,0,596,25,225,1.2
2019,1,2,12,30,47.94,0.01,2.1,163,754,668,8,12.7,45.89,1020,271,509,0,612,25.2,347,1.5
2019,1,2,13,30,50.46,0.01,2.1,151,750,629,6,13.2,47.07,1020,318,158,0,419,25.3,335,2.4
