Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2598300,-,-,-,25.01,54.78,4,0,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2008,1,1,0,30,177.62,0.01,1.5,0,0,0,1,17.2,82.37,1017,0,0,0,0,20.3,177,0.5
2008,1,1,1,30,164.87,0.01,1.5,0,0,0,3,17,83.09,1017,0,0,0,0,20,76,0.30000000000000004
2008,1,1,2,30,151.29,0.01,1.5,0,0,0,3,16.900000000000002,83.87,1017,0,0,0,0,19.700000000000003,138,0.5
2008,1,1,3,30,137.75,0.01,1.5,0,0,0,3,16.7,84.41,1017,0,0,0,0,19.400000000000002,141,0.7000000000000001
2008,1,1,4,30,124.29,0.01,2,0,0,0,0,14.5,76.07000000000001,1019,0,0,0,0,18.8,170,1.7000000000000002
2008,1,1,5,30,111.12,0.01,2.1,0,0,0,0,14.700000000000001,77.72,1019,0,0,0,0,18.7,178,1.9000000000000001
2008,1,1,6,30,98.27,0.01,2.1,0,0,0,0,14.8,77.88,1020,0,0,0,0,18.7,183,2
2008,1,1,7,30,85.74,0.01,2.1,30,46,33,0,14.5,73.27,1021,30,46,0,33,19.400000000000002,185,2.2
2008,1,1,8,30,74.28,0.01,2.1,108,357,205,0,14,66.03,1021,108,357,0,205,20.6,193,2.2
2008,1,1,9,30,63.92,0.01,2.1,148,542,387,0,13.9,61.550000000000004,1021,148,542,0,387,21.6,217,1.9000000000000001
2008,1,1,10,30,55.42,0.01,2.1,170,642,535,0,13.8,57.63,1021,170,642,0,535,22.6,242,1.9000000000000001
