Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2020,1,1,0,30,177.61,0.01,1.9,0,0,0,8,13,62.07,1018,0,0,0,0,20.5,94,2.6
2020,1,1,1,30,164.87,0.01,1.9,0,0,0,2,13.2,64.47,1018,0,0,0,0,20.1,94,2.6
2020,1,1,2,30,151.28,0.01,1.9,0,0,0,5,13.6,66.93,1018,0,0,0,0,19.9,91,2.7
2020,1,1,3,30,137.75,0.01,1.9,0,0,0,1,14,69.58,1018,0,0,0,0,19.7,89,2.7
2020,1,1,4,30,124.29,0.01,1.6,0,0,0,1,14.7,71.81,1014,0,0,0,0,19.9,225,2.9
2020,1,1,5,30,111.11,0.01,1.7,0,0,0,2,14.8,74.15,1015,0,0,0,0,19.5,216,2.9
2020,1,1,6,30,98.27,0.01,1.7,0,0,0,3,14.9,75.22,1016,0,0,0,0,19.4,209,3.1
2020,1,1,7,30,85.74,0.01,1.8,31,150,42,3,15,72.73,1016,26,0,7,26,20,202,3.7
2020,1,1,8,30,74.28,0.01,1.9,85,505,222,3,15,68.93,1017,151,129,0,186,20.9,201,4.2
2020,1,1,9,30,63.91,0.01,2,117,659,407,3,14.9,63.56,1018,242,217,0,337,22.1,209,4.3
2020,1,1,10,30,55.42,0.01,2,148,707,549,3,14,55.52,1017,319,236,0,453,23.4,220,4.5
2020,1,1,11,30,49.79,0.01,2,161,743,641,2,13.2,50.3,1016,364,250,0,526,24.2,226,4.6
2020,1,1,12,30,48.05,0.01,2,165,752,668,1,12.8,47.39,1015,165,752,0,668,24.7,231,4.7
2020,1,1,13,30,50.6,0.01,2,157,745,630,3,12.5,45.72,1014,352,271,0,524,25,238,4.8
2020,1,1,14,30,56.88,0.01,2,148,687,523,3,12.4,45.61,1014,306,245,0,440,25,245,4.9
2020,1,1,15,30,65.81,0.01,2,130,570,363,3,12.7,47.13,1014,241,105,0,284,24.7,252,4.9
2020,1,1,16,30,76.44,0.01,2,94,346,175,8,13.2,51.65,1015,49,1,7,49,23.7,257,4.5
2020,1,1,17,30,87.98,0.01,2.1,13,12,13,3,14.1,58.35,1015,8,0,7,8,22.7,260,4
2020,1,1,18,30,100.73,0.01,2.2,0,0,0,7,15.3,64.14,1016,0,0,0,0,22.4,259,3.9
2020,1,1,19,30,113.66,0.01,2.3,0,0,0,7,16.3,68.76,1017,0,0,0,0,22.3,256,3.7
2020,1,1,20,30,126.88,0.01,2.4,0,0,0,3,17,72.05,1017,0,0,0,0,22.3,253,3.4
2020,1,1,21,30,140.31,0.01,2.5,0,0,0,3,17.6,74.62,1017,0,0,0,0,22.3,252,3.2
2020,1,1,22,30,153.86,0.01,2.6,0,0,0,3,18,76.62,1017,0,0,0,0,22.3,252,2.9
2020,1,1,23,30,167.43,0.01,2.7,0,0,0,8,18.2,77.37,1016,0,0,0,0,22.4,255,2.8
2020,1,2,0,30,177.61,0.01,2.7,0,0,0,7,18.4,78.23,1016,0,0,0,0,22.4,261,2.7
2020,1,2,1,30,164.89,0.01,2.8,0,0,0,7,18.6,79.46,1016,0,0,0,0,22.3,268,2.7
2020,1,2,2,30,151.31,0.01,2.8,0,0,0,8,18.7,80.59,1016,0,0,0,0,22.2,276,2.7
2020,1,2,3,30,137.78,0.01,2.8,0,0,0,5,18.7,81.05,1016,0,0,0,0,22.1,282,2.7
2020,1,2,4,30,124.38,0.01,2.7,0,0,0,8,18.5,80.1,1017,0,0,0,0,22.1,283,2.5
2020,1,2,5,30,111.19,0.01,2.6,0,0,0,3,18.2,79,1017,0,0,0,0,22,280,2.2
2020,1,2,6,30,98.34,0.01,2.5,0,0,0,3,17.9,77.51,1018,0,0,0,0,22,274,1.9
2020,1,2,7,30,85.79,0.01,2.5,30,65,35,3,17.5,73.48,1018,22,0,7,22,22.5,263,1.6
2020,1,2,8,30,74.32,0.01,2.5,105,379,208,2,17.2,68.94,1019,155,47,0,167,23.2,250,1.5
2020,1,2,9,30,63.93,0.01,2.5,142,564,390,2,16.5,62.72,1020,257,103,0,302,24,242,1.6
2020,1,2,10,30,55.4,0.01,2.5,145,706,546,0,15.9,57.93,1019,145,706,0,546,24.7,243,1.9
2020,1,2,11,30,49.74,0.01,2.6,156,744,637,7,15.2,53.52,1018,311,255,0,476,25.3,253,2.3
2020,1,2,12,30,47.96,0.01,2.6,163,746,663,6,15.1,52.46,1018,332,120,0,413,25.5,265,2.7
2020,1,2,13,30,50.49,0.01,2.6,156,735,624,7,15.1,52.39,1017,264,367,0,498,25.6,276,3.1
2020,1,2,14,30,56.75,0.01,2.6,143,689,521,7,15.2,53.28,1017,240,371,0,444,25.4,284,3.2
2020,1,2,15,30,65.67,0.01,2.6,121,594,366,3,15.3,54.75,1017,234,133,0,289,25,291,3.1
2020,1,2,16,30,76.31,0.01,2.6,83,403,178,0,15.3,57.1,1018,83,403,0,178,24.3,297,2.5
2020,1,2,17,30,87.85,0.01,2.5,15,35,17,1,15.4,60.87,1019,15,35,0,17,23.4,302,1.9
2020,1,2,18,30,100.6,0.01,2.5,0,0,0,1,15.7,63.68,1019,0,0,0,0,22.9,303,1.7
2020,1,2,19,30,113.53,0.01,2.5,0,0,0,1,15.8,64.87,1020,0,0,0,0,22.7,303,1.5
2020,1,2,20,30,126.76,0.01,2.5,0,0,0,3,15.7,64.09,1020,0,0,0,0,22.8,307,1.2
2020,1,2,21,30,140.19,0.01,2.4,0,0,0,4,15.5,63.25,1020,0,0,0,0,22.8,317,0.9
2020,1,2,22,30,153.74,0.01,2.4,0,0,0,3,15.3,62.91,1020,0,0,0,0,22.7,164,0.6
2020,1,2,23,30,167.31,0.01,2.4,0,0,0,4,15.1,62.85,1019,0,0,0,0,22.5,32,0.5
2020,1,3,0,30,177.59,0.01,2.4,0,0,0,3,14.9,63.16,1019,0,0,0,0,22.2,72,0.5
2020,1,3,1,30,164.98,0.01,2.4,0,0,0,0,14.7,63.34,1019,0,0,0,0,22,86,0.6
2020,1,3,2,30,151.4,0.01,2.4,0,0,0,2,14.6,63.66,1019,0,0,0,0,21.8,90,0.5
2020,1,3,3,30,137.86,0.01,2.4,0,0,0,0,14.4,63.38,1019,0,0,0,0,21.7,95,0.5
2020,1,3,4,30,124.46,0.01,2.4,0,0,0,0,14.3,63.01,1019,0,0,0,0,21.6,105,0.5
2020,1,3,5,30,111.26,0.01,2.4,0,0,0,0,14.1,62.78,1020,0,0,0,0,21.5,115,0.6
2020,1,3,6,30,98.4,0.01,2.5,0,0,0,0,14,62.58,1020,0,0,0,0,21.4,119,0.8
2020,1,3,7,30,85.84,0.01,2.5,29,91,36,0,14,61.04,1021,29,91,0,36,21.8,119,1.2
2020,1,3,8,30,74.35,0.01,2.5,89,449,210,0,14,57.57,1021,89,449,0,210,22.8,116,1.5
2020,1,3,9,30,63.94,0.01,2.5,120,626,394,1,14,53.54,1021,120,626,0,394,24,109,1.1
2020,1,3,10,30,55.38,0.01,2.5,150,681,537,1,13.5,48.59,1021,150,681,0,537,25.1,192,0.6
2020,1,3,11,30,49.68,0.01,2.4,160,729,632,0,13,44.75,1020,160,729,0,632,25.9,280,0.7
2020,1,3,12,30,47.87,0.01,2.4,163,741,660,0,12.7,42.67,1019,163,741,0,660,26.4,284,1.3
2020,1,3,13,30,50.37,0.01,2.4,169,701,616,0,12.6,41.89,1018,169,701,0,616,26.6,293,1.8
2020,1,3,14,30,56.61,0.01,2.4,159,641,511,0,12.8,42.72,1018,159,641,0,511,26.5,306,2.2
2020,1,3,15,30,65.53,0.01,2.4,138,524,355,0,13.1,44.52,1018,138,524,0,355,26.1,320,2.4
2020,1,3,16,30,76.17,0.01,2.4,95,311,170,0,13.4,48.27,1018,95,311,0,170,25.1,338,2.4
2020,1,3,17,30,87.72,0.01,2.4,12,9,13,0,14.1,53.49,1019,12,9,0,13,24.1,177,2.3
2020,1,3,18,30,100.47,0.01,2.4,0,0,0,0,14.7,57.84,1019,0,0,0,0,23.5,13,2.4
2020,1,3,19,30,113.4,0.01,2.4,0,0,0,0,15.2,60.55,1020,0,0,0,0,23.2,29,2.4
2020,1,3,20,30,126.63,0.01,2.4,0,0,0,0,15.3,61.76,1019,0,0,0,0,23,47,2.3
2020,1,3,21,30,140.06,0.01,2.4,0,0,0,0,15.3,62.69,1019,0,0,0,0,22.8,67,2.4
2020,1,3,22,30,153.62,0.01,2.4,0,0,0,0,15.3,63.69,1019,0,0,0,0,22.5,85,2.6
2020,1,3,23,30,167.18,0.01,2.4,0,0,0,0,15.1,63.66,1018,0,0,1,0,22.3,100,2.8
2020,1,4,0,30,177.55,0.01,2.3,0,0,0,0,14.8,63.11,1018,0,0,0,0,22.1,113,2.9
2020,1,4,1,30,165.06,0.01,2.3,0,0,0,0,14.3,62.2,1017,0,0,0,0,21.9,124,2.8
2020,1,4,2,30,151.49,0.01,2.3,0,0,0,0,14.1,62.01,1017,0,0,0,0,21.7,134,2.8
