Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2022,1,1,0,30,177.61,0.01,2.7,0,0,0,1,12.7,58.99,1024,0,0,0,0,21,185,1.6
2022,1,1,1,30,164.82,0.01,2.7,0,0,0,0,12.8,59.37,1024,0,0,0,0,21,346,1.7
2022,1,1,2,30,151.24,0.01,2.7,0,0,0,0,13.3,61.41,1024,0,0,0,0,21,332,2
2022,1,1,3,30,137.71,0.01,2.7,0,0,0,0,14,64.72,1024,0,0,0,0,20.9,327,2.2
2022,1,1,4,30,124.33,0.01,3.4,0,0,0,6,18.8,81.21,1018,0,0,0,0,22.2,138,3.6
2022,1,1,5,30,111.15,0.01,3.4,0,0,0,7,18.8,82.43,1018,0,0,0,0,21.9,143,3.4
2022,1,1,6,30,98.3,0.01,3.4,0,0,0,4,18.7,82.52,1019,0,0,0,0,21.8,148,3.4
2022,1,1,7,30,85.76,0.01,3.4,28,35,30,8,18.6,81.47,1020,28,35,5,30,21.9,151,3.7
2022,1,1,8,30,74.29,0.01,3.3,111,301,193,3,18.3,76.81,1021,141,13,0,145,22.6,157,4.1
2022,1,1,9,30,63.92,0.01,3.3,165,455,365,3,18,71.73,1021,207,14,0,213,23.4,166,3.8
2022,1,1,10,30,55.41,0.01,3.3,155,657,528,2,17.6,67.64,1021,323,156,0,412,24,174,2.5
2022,1,1,11,30,49.76,0.01,3.4,176,676,613,7,17.3,65.44,1020,268,26,0,285,24.2,248,1.2
2022,1,1,12,30,48,0.01,3.4,190,666,636,8,17.5,65.69,1019,310,350,0,544,24.3,327,1.3
2022,1,1,13,30,50.55,0.01,3.5,194,625,591,5,18,68.2,1018,26,0,0,26,24.2,342,2.2
2022,1,1,14,30,56.82,0.01,3.5,183,559,489,7,18.3,70.27,1018,10,0,0,10,24,352,3
2022,1,1,15,30,65.74,0.01,3.5,158,441,339,7,18.5,73.07,1018,6,0,0,6,23.6,184,3.9
2022,1,1,16,30,76.38,0.01,3.5,105,236,160,7,18.7,76.19,1018,4,0,0,4,23.1,18,4.7
2022,1,1,17,30,87.92,0.01,3.6,10,4,10,7,18.8,79.09,1019,2,0,7,2,22.6,32,5.1
2022,1,1,18,30,100.67,0.01,3.6,0,0,0,7,18.9,81.55,1019,0,0,0,0,22.2,43,5.2
2022,1,1,19,30,113.6,0.01,3.7,0,0,0,7,18.9,82.47,1019,0,0,0,0,22,52,5.1
2022,1,1,20,30,126.83,0.01,3.7,0,0,0,8,18.9,82.86,1019,0,0,0,0,21.9,63,4.9
2022,1,1,21,30,140.25,0.01,3.7,0,0,0,7,18.8,82.6,1018,0,0,0,0,21.9,75,4.8
2022,1,1,22,30,153.8,0.01,3.7,0,0,0,3,18.8,82.53,1018,0,0,0,0,21.9,85,4.7
2022,1,1,23,30,167.37,0.01,3.6,0,0,0,4,18.8,81.97,1017,0,0,0,0,22,94,4.6
2022,1,2,0,30,177.6,0.01,3.6,0,0,0,7,18.8,82.15,1016,0,0,0,0,22,105,4.6
2022,1,2,1,30,164.93,0.01,3.6,0,0,0,1,18.8,82.17,1015,0,0,0,0,22,115,4.6
2022,1,2,2,30,151.35,0.01,3.6,0,0,0,7,18.8,81.91,1015,0,0,0,0,22,122,4.6
2022,1,2,3,30,137.81,0.01,3.6,0,0,0,4,18.7,81.33,1015,0,0,0,0,22,130,4.9
2022,1,2,4,30,124.41,0.01,3.6,0,0,0,3,18.5,81.26,1015,0,0,0,0,21.9,140,5.4
2022,1,2,5,30,111.22,0.01,3.6,0,0,0,4,18.2,80.1,1015,0,0,0,0,21.8,153,5.8
2022,1,2,6,30,98.36,0.01,3.6,0,0,0,4,17.8,78.91,1016,0,0,0,0,21.6,164,6.1
